QueryID	Algorithm	Metric	k	Value
GLOBAL	audio	Coverage@k	20	0.968900675024108
GLOBAL	audio	Pop@k	20	36.91739392478303
GLOBAL	video	Coverage@k	1	0.4910800385728062
GLOBAL	video	Pop@k	1	36.25916104146577
GLOBAL	video	Coverage@k	2	0.6395853423336548
GLOBAL	video	Pop@k	2	36.47239633558341
GLOBAL	video	Coverage@k	3	0.7070877531340405
GLOBAL	video	Pop@k	3	36.55978784956606
GLOBAL	video	Coverage@k	4	0.759884281581485
GLOBAL	video	Pop@k	4	36.583835583413695
GLOBAL	video	Coverage@k	5	0.7950819672131147
GLOBAL	video	Pop@k	5	36.59498553519769
GLOBAL	video	Coverage@k	6	0.8191899710703954
GLOBAL	video	Pop@k	6	36.54210864673739
GLOBAL	video	Coverage@k	7	0.8387174541947927
GLOBAL	video	Pop@k	7	36.64020526243284
GLOBAL	video	Coverage@k	8	0.8522179363548699
GLOBAL	video	Pop@k	8	36.68623432979749
GLOBAL	video	Coverage@k	9	0.8657184185149469
GLOBAL	video	Pop@k	9	36.66658630665381
GLOBAL	video	Coverage@k	10	0.8763259402121505
GLOBAL	video	Pop@k	10	36.70578592092574
GLOBAL	video	Coverage@k	11	0.8845226615236258
GLOBAL	video	Pop@k	11	36.70439203997546
GLOBAL	video	Coverage@k	12	0.8895853423336548
GLOBAL	video	Pop@k	12	36.73250160720026
GLOBAL	video	Coverage@k	13	0.8963355834136933
GLOBAL	video	Pop@k	13	36.759865736963135
GLOBAL	video	Coverage@k	14	0.8999517839922855
GLOBAL	video	Pop@k	14	36.778636864581905
GLOBAL	video	Coverage@k	15	0.904291224686596
GLOBAL	video	Pop@k	15	36.817936354869815
GLOBAL	video	Coverage@k	16	0.909112825458052
GLOBAL	video	Pop@k	16	36.83513138862102
GLOBAL	video	Coverage@k	17	0.9120057859209257
GLOBAL	video	Pop@k	17	36.87641102728459
GLOBAL	video	Coverage@k	18	0.9158630665380907
GLOBAL	video	Pop@k	18	36.90307243115826
GLOBAL	video	Coverage@k	19	0.9199614271938283
GLOBAL	video	Pop@k	19	36.93195198700706
GLOBAL	video	Coverage@k	20	0.9230954676952748
GLOBAL	video	Pop@k	20	36.94710703953712
GLOBAL	early_fusion	Coverage@k	1	0.3789778206364513
GLOBAL	early_fusion	Pop@k	1	39.18683702989392
GLOBAL	early_fusion	Coverage@k	2	0.49397299903567987
GLOBAL	early_fusion	Pop@k	2	39.83678881388621
GLOBAL	early_fusion	Coverage@k	3	0.56099324975892
GLOBAL	early_fusion	Pop@k	3	39.840565734490525
GLOBAL	early_fusion	Coverage@k	4	0.6089681774349084
GLOBAL	early_fusion	Pop@k	4	39.8904893924783
GLOBAL	early_fusion	Coverage@k	5	0.6419961427193829
GLOBAL	early_fusion	Pop@k	5	39.995949855351974
GLOBAL	early_fusion	Coverage@k	6	0.6682738669238187
GLOBAL	early_fusion	Pop@k	6	39.99975891996143
GLOBAL	early_fusion	Coverage@k	7	0.6909353905496625
GLOBAL	early_fusion	Pop@k	7	40.00378840060615
GLOBAL	early_fusion	Coverage@k	8	0.7061234329797492
GLOBAL	early_fusion	Pop@k	8	40.00455038572806
GLOBAL	early_fusion	Coverage@k	9	0.7227579556412729
GLOBAL	early_fusion	Pop@k	9	39.98462445087325
GLOBAL	early_fusion	Coverage@k	10	0.7352941176470589
GLOBAL	early_fusion	Pop@k	10	39.99021215043394
GLOBAL	early_fusion	Coverage@k	11	0.7473481195756991
GLOBAL	early_fusion	Pop@k	11	40.023340931007276
GLOBAL	early_fusion	Coverage@k	12	0.7579556412729026
GLOBAL	early_fusion	Pop@k	12	40.02655898424944
GLOBAL	early_fusion	Coverage@k	13	0.7700096432015429
GLOBAL	early_fusion	Pop@k	13	40.062384096135304
GLOBAL	early_fusion	Coverage@k	14	0.7757955641272902
GLOBAL	early_fusion	Pop@k	14	40.041655186664826
GLOBAL	early_fusion	Coverage@k	15	0.7837512054001928
GLOBAL	early_fusion	Pop@k	15	40.048280295724844
GLOBAL	early_fusion	Coverage@k	16	0.7895371263259402
GLOBAL	early_fusion	Pop@k	16	40.06952145612343
GLOBAL	early_fusion	Coverage@k	17	0.7967695274831244
GLOBAL	early_fusion	Pop@k	17	40.07724488059448
GLOBAL	early_fusion	Coverage@k	18	0.8025554484088717
GLOBAL	early_fusion	Pop@k	18	40.107401157184185
GLOBAL	early_fusion	Coverage@k	19	0.8078592092574735
GLOBAL	early_fusion	Pop@k	19	40.08994823123383
GLOBAL	early_fusion	Coverage@k	20	0.8119575699132112
GLOBAL	early_fusion	Pop@k	20	40.08060511089682
GLOBAL	late_fusion	Coverage@k	1	0.38162970106075217
GLOBAL	late_fusion	Pop@k	1	39.01229508196721
GLOBAL	late_fusion	Coverage@k	2	0.5007232401157184
GLOBAL	late_fusion	Pop@k	2	39.6321118611379
GLOBAL	late_fusion	Coverage@k	3	0.5665380906460945
GLOBAL	late_fusion	Pop@k	3	39.72412407585985
GLOBAL	late_fusion	Coverage@k	4	0.6142719382835101
GLOBAL	late_fusion	Pop@k	4	39.708654773384765
GLOBAL	late_fusion	Coverage@k	5	0.650433944069431
GLOBAL	late_fusion	Pop@k	5	39.7466730954677
GLOBAL	late_fusion	Coverage@k	6	0.6750241080038573
GLOBAL	late_fusion	Pop@k	6	39.78692542590807
GLOBAL	late_fusion	Coverage@k	7	0.6984088717454194
GLOBAL	late_fusion	Pop@k	7	39.80865132938421
GLOBAL	late_fusion	Coverage@k	8	0.7167309546769528
GLOBAL	late_fusion	Pop@k	8	39.80816055930569
GLOBAL	late_fusion	Coverage@k	9	0.7324011571841852
GLOBAL	late_fusion	Pop@k	9	39.82727954569806
GLOBAL	late_fusion	Coverage@k	10	0.7446962391513983
GLOBAL	late_fusion	Pop@k	10	39.88247348119576
GLOBAL	late_fusion	Coverage@k	11	0.7557859209257474
GLOBAL	late_fusion	Pop@k	11	39.89166739721224
GLOBAL	late_fusion	Coverage@k	12	0.7656702025072324
GLOBAL	late_fusion	Pop@k	12	39.89794278367085
GLOBAL	late_fusion	Coverage@k	13	0.7741080038572806
GLOBAL	late_fusion	Pop@k	13	39.91997997181218
GLOBAL	late_fusion	Coverage@k	14	0.7830279652844745
GLOBAL	late_fusion	Pop@k	14	39.92636726821876
GLOBAL	late_fusion	Coverage@k	15	0.7914657666345226
GLOBAL	late_fusion	Pop@k	15	39.914721954355514
GLOBAL	late_fusion	Coverage@k	16	0.7989392478302797
GLOBAL	late_fusion	Pop@k	16	39.935496022179365
GLOBAL	late_fusion	Coverage@k	17	0.803519768563163
GLOBAL	late_fusion	Pop@k	17	39.95644960009076
GLOBAL	late_fusion	Coverage@k	18	0.8100289296046287
